"";"x"
"1";2,97692297208489
"2";2,20614197768499
"3";3,74770396648479
"4";2,20614197768499
"5";2,20614197768499
"6";2,20614197768499
"7";2,20614197768499
"8";3,07709126516564
"9";2,30631027076574
"10";3,74770396648479
"11";3,74770396648479
"12";2,20614197768499
"13";2,30631027076574
"14";2,97692297208489
"15";2,97692297208489
"16";2,97692297208489
"17";2,97692297208489
"18";2,97692297208489
"19";2,20614197768499
"20";3,74770396648479
"21";2,20614197768499
"22";2,20614197768499
"23";3,74770396648479
"24";2,20614197768499
"25";2,30631027076574
"26";3,84787225956554
"27";2,20614197768499
"28";2,20614197768499
"29";4,18620384807517
"30";2,64464185927538
"31";2,64464185927538
"32";4,18620384807517
"33";2,97692297208489
"34";1,97402915795623
"35";2,64464185927538
"36";3,07709126516564
"37";2,20614197768499
"38";2,20614197768499
"39";2,20614197768499
"40";2,64464185927538
"41";2,20614197768499
"42";3,84787225956554
"43";2,20614197768499
"44";2,20614197768499
"45";2,20614197768499
"46";2,64464185927538
"47";2,20614197768499
"48";2,74481015235613
"49";2,30631027076574
"50";2,64464185927538
"51";2,74481015235613
"52";1,53552927636584
"53";2,97692297208489
"54";2,20614197768499
"55";2,30631027076574
"56";3,84787225956554
"57";2,20614197768499
"58";2,20614197768499
"59";2,20614197768499
"60";5,38943424836534
"61";2,20614197768499
"62";2,20614197768499
"63";2,30631027076574
"64";2,30631027076574
"65";2,30631027076574
"66";5,38943424836534
"67";2,30631027076574
"68";3,07709126516564
"69";2,20614197768499
"70";2,20614197768499
"71";3,74770396648479
"72";3,74770396648479
"73";3,84787225956554
"74";2,30631027076574
"75";3,74770396648479
"76";2,20614197768499
"77";2,20614197768499
"78";2,97692297208489
"79";2,20614197768499
"80";3,74770396648479
"81";2,74481015235613
"82";2,74481015235613
"83";3,41542285367528
"84";2,64464185927538
"85";2,64464185927538
"86";2,64464185927538
"87";2,64464185927538
"88";2,64464185927538
"89";3,41542285367528
"90";2,64464185927538
"91";4,51848496088468
"92";3,51559114675603
"93";4,95698484247507
"94";3,51559114675603
"95";3,41542285367528
"96";2,64464185927538
"97";2,64464185927538
"98";2,64464185927538
"99";2,64464185927538
"100";4,28637214115593
"101";2,74481015235613
"102";2,74481015235613
"103";2,74481015235613
"104";3,41542285367528
"105";3,41542285367528
"106";4,18620384807517
"107";3,74770396648479
"108";2,74481015235613
"109";3,51559114675603
"110";2,64464185927538
"111";2,64464185927538
"112";3,74770396648479
"113";2,74481015235613
"114";4,18620384807517
"115";3,41542285367528
"116";2,20614197768499
"117";2,64464185927538
"118";2,64464185927538
"119";2,64464185927538
"120";2,97692297208489
"121";2,64464185927538
"122";2,20614197768499
